matchdate,ko,hometeam,awayteam,matchhomescore,matchawayscore,week
2012-02-04,14:30,France,Italy,30,12,1
2012-02-04,17:00,Scotland,England,6,13,1
2012-02-05,15:00,Ireland,Wales,21,23,1
2012-02-11,16:00,Italy,England,15,19,2
2012-02-12,15:00,Wales,Scotland,27,13,2
2012-02-25,13:30,Ireland,Italy,42,10,3
2012-02-25,16:00,England,Wales,12,19,3
2012-02-26,15:00,Scotland,France,17,23,3
2012-03-04,15:00,France,Ireland,17,17,4
2012-03-10,14:30,Wales,Italy,24,3,4
2012-03-10,17:00,Ireland,Scotland,32,14,4
2012-03-11,15:00,France,England,22,24,4
2012-03-17,12:30,Italy,Scotland,13,6,5
2012-03-17,14:45,Wales,France,16,9,5
2012-03-17,17:00,England,Ireland,30,9,5
